actual_state_general,actual_state_x,actual_state_o,play1_state_general,play1_state_x,play1_state_o,play2_state_general,play2_state_x,play2_state_o,play3_state_general,play3_state_x,play3_state_o,play4_state_general,play4_state_x,play4_state_o
111000111,111000000,000000111,011100111,011100000,000000111,101010111,101010000,000000111,110001111,110001000,000000111,,,
111100011,111000000,000100011,101110011,101010000,000100011,101100011,101100000,000000011,,,,,,
111010101,111000000,000010101,,,,,,,,,,,,
101110001,101100000,000010001,001110001,001110000,000000001,,,,100110001,100110000,000000001,,,
011110001,011010000,000100001,001110001,001110000,000000001,010111001,010011000,000100001,011100011,011000010,000100001,011100001,011000001,000100000
101110010,101000000,000110010,001110010,001010000,000100010,100111010,100001000,000110010,100110010,100010000,000100010,,,
110101001,110000000,000101001,,,,,,,,,,,,
011011100,011010000,000001100,001011100,001011000,000000100,011001110,011000010,000001100,011001100,011000100,000001000,,,
011111100,011100000,000011100,001111100,001101000,000010100,010111100,010110000,000001100,,,,,,
101101010,101100000,000001010,101001110,101000100,000001010,101001010,101000010,000001000,,,,,,
110111001,110001000,000110001,,,,,,,,,,,,
011010001,011000000,000010001,010011001,010001000,000010001,010010001,010010000,000000001,,,,,,
011010100,011000000,000010100,010011100,010001000,000010100,010010100,010010000,000000100,,,,,,
101100001,101000000,000100001,,,,,,,,,,,,
001111000,001110000,000001000,001011100,001010100,000001000,001101010,001100010,000001000,,,,,,
100111000,100000000,000111000,000111000,000010000,000101000,,,,,,,,,
010111000,010100000,000011000,000111000,000101000,000010000,010011100,010000100,000011000,,,,,,
010111000,010001000,000110000,000111000,000101000,000010000,010110001,010000001,000110000,,,,,,
100111000,100110000,000001000,100011100,100010100,000001000,100101010,100100010,000001000,,,,,,
001110000,001100000,000010000,000111000,000101000,000010000,000110000,000110000,000000000,001010100,001000100,000010000,,,
010110000,010010000,000100000,000110000,000110000,000000000,010100010,010000010,000100000,,,,,,
010011000,010010000,000001000,000011000,000011000,000000000,010001010,010000010,000001000,,,,,,
100110000,100100000,000010000,000110000,000110000,000000000,100010100,100000100,000010000,,,,,,
001011000,001001000,000010000,000011000,000011000,000000000,001010001,001000001,000010000,,,,,,
